x, y
698.2277251760136, 9.224492848315005
775.5056305675388, 9.427778608707973
842.8109884774124, 9.606503821841569
909.7428427362878, 9.771248415765982
973.6866677871776, 9.9369848779451
1033.7087045025864, 10.100359749041587
1097.540478458177, 10.249942928215503
1156.7781575064896, 10.392346870498217
1220.1243767157823, 10.552226586792408
1288.1393915625526, 10.701148520463187
1358.1339757596131, 10.866507128069085
1419.388574523316, 11.007541347523873
1477.5804433488338, 11.133792006801382
1565.9140568099053, 11.325505970889454
1637.10385269016, 11.464839844764747
1701.1970792014492, 11.599781159226342
1788.2981306142267, 11.782048758983887
1880.5161820456794, 11.964410822384735
1987.6743795170598, 12.162406618752607
2078.136963788821, 12.34769705509592
2163.856051692905, 12.504223312052774
2250.8824023754833, 12.65919091889509
2362.522643658842, 12.870789479898924
2472.631519973108, 13.067226626152259
2580.3126225558854, 13.246518621145686
2703.718228845687, 13.421843143120292
2824.0611051973033, 13.600332197145624
2943.731674977123, 13.753079908370268
3037.891945393766, 13.854061543063613
3138.775281528377, 13.960663764533624
3251.984238145928, 14.05423000322751
3404.6351803088874, 14.128431195043808
3550.6377574840794, 14.165933261436006
3684.8002689226287, 14.172923571040595
3816.049451883392, 14.129234136011902
3952.004780846733, 14.05767792620815
4080.041832408912, 13.95183141388458
4222.75757745532, 13.790298583832548
4303.3596653407285, 13.684452071508979
4374.624161951183, 13.5864932734014
4443.871738846247, 13.470397455779207
4537.919958167591, 13.313209953319216
4620.725717593889, 13.16953075185188
4686.723812725269, 13.035297914715073
4767.251199880478, 12.87305660733825
4835.452966552748, 12.72016720064865
4901.11490839823, 12.570725716939693
4969.279324705399, 12.413916069052924
5030.272470913404, 12.26617493092346
5105.906960240536, 12.073185707650769
5176.648551739593, 11.881660670849307
5229.349916895438, 11.720930781765368
5282.088632416382, 11.551321310210733
5340.355201972099, 11.35474246849244
5399.294078099613, 11.17219147780498
5443.479560012699, 10.99766989679847
5494.126655088054, 10.801610605118356
5544.026742861412, 10.58765045303189
5585.224195566511, 10.415065376713137
5625.973443890414, 10.228121826611982
5664.519020673427, 10.00117292357104
5707.920144919417, 9.779655680020152
5742.021028255551, 9.579959538072785
5785.683605057239, 9.376626545858162
5800.997254748165, 9.231955476136122
