x, y
1102.4667173070004, 246.05832756027914
1168.0326230360213, 243.91945322136425
1249.8700675648663, 241.37188888701147
1319.5138527965457, 239.24441985029486
1409.1872226442251, 237.03787405167026
1490.7847919082078, 235.82092830711522
1563.7868308479592, 235.44911545545173
1676.5282053332267, 236.54326411300542
1774.2373965537922, 238.5118192724262
1870.2274817095113, 240.81112819559672
1967.896693719266, 242.8078164337732
2072.002558669492, 243.5145649933258
2209.2511893815217, 242.17330145480966
2296.0060768400435, 240.38609060034133
2369.4079078878985, 238.3677322879881
2449.086475032983, 236.3429109710559
2546.3958741454444, 233.61590321545037
2650.2218846199976, 230.87672980416673
2731.659537040739, 228.40101887366305
2813.2571063047217, 225.7652535356437
2878.143365449966, 223.63854485240694
2963.3790428976936, 220.710423601372
3037.2606244752733, 218.39248601794435
3113.4210210690444, 216.06428366253823
3257.865909726942, 212.9479749252319
3436.852836525007, 210.88437558082558
3597.4093471394876, 209.54235168882957
3817.534881861432, 208.30183498639812
4034.302162875305, 208.39421793420408
4240.355015391997, 208.74968318605005
4443.729260784392, 209.64994170623322
4594.410906328709, 211.25048578138993
4715.467956662536, 212.78830069445618
4845.4803502178875, 214.55612253518746
4999.200415783793, 216.40112025412702
5148.362851317315, 218.2407954987074
5256.506616559389, 219.79723907203083
5420.021588773838, 222.31400909044828
5550.913524967017, 224.65285639457278
5684.084276176389, 227.02706013551187
5814.016711310119, 229.37275062095534
5943.7892296006075, 231.75303718973353
6057.889897253429, 234.16601895814676
6190.06116819254, 237.1625720223713
